!|Division|
|numerator|denominator|Quotient?|
|10|5|2|
{{{
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|10|5|2|
|55|11|5|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
|1|1|1|
}}}
